Slice #,Xd,Yd,Xt,Yt
181,170.49356223176,207.2647582296,211.565750299656,157.302420446197
182,170.49356223176,205.007247499987,211.634893701966,155.524503443458
183,170.49356223176,201.14258226928,212.285659594189,154.925547562917
184,170.49356223176,200.405753103972,211.89981223176,152.61534334764
185,170.49356223176,201.437960651847,212.206485455412,152.771578445398
186,170.49356223176,200.497442530425,211.822515097421,151.686828212237
187,170.49356223176,199.997306238943,212.056362317988,150.063691771023
188,170.49356223176,200.045238082512,212.506283107141,151.422398793643
189,170.49356223176,201.907503514182,212.634370863583,152.811760458867
190,170.49356223176,202.265976835793,212.894087682002,154.450784164294
191,170.49356223176,204.824584845456,212.426107377116,155.674042432586
192,170.49356223176,203.993687833714,212.343632406485,155.28700445457
193,170.49356223176,202.158878454722,212.186926998328,153.843015172581
194,170.49356223176,200.584193394941,211.523896451945,153.147515196241
195,170.49356223176,199.813414288692,212.075692547796,152.225419430355
196,170.49356223176,199.585096660057,211.935943203241,151.843086919899
